fold,model_file,train_size,test_size,accuracy,mcc,macro_f1,weighted_f1,f1_antagonistic,recall_antagonistic,precision_antagonistic,f1_harmful,recall_harmful,precision_harmful,f1_others,recall_others,precision_others,f1_synergistic,recall_synergistic,precision_synergistic,ap_antagonistic,roc_auc_antagonistic,ap_harmful,roc_auc_harmful,ap_others,roc_auc_others,ap_synergistic,roc_auc_synergistic
1,fold_01_model.joblib,69228,7693,0.8182763551280384,0.7582009810198101,0.8162844732113637,0.8163435077253968,0.8067444876783398,0.8086323452938118,0.8048654244306418,0.761431931016462,0.7580645161290323,0.7648293963254593,0.7647538754419364,0.7315296566077003,0.8011396011396011,0.9322075987087162,0.9745586708203531,0.8933841028081866,0.8772635048173123,0.9547331806617153,0.8376890997186327,0.9275614860696969,0.8451748001301126,0.9306515894265543,0.9793849371916308,0.9929398315081277
2,fold_02_model.joblib,69229,7692,0.8200728029121165,0.7606895679977642,0.818340996536164,0.818384832371563,0.8187677236401134,0.8257930317212688,0.8118609406952966,0.7632527020072054,0.77159209157128,0.755091649694501,0.7607497243660419,0.7180020811654526,0.8089097303634232,0.9305938361312954,0.9646753246753247,0.898838334946757,0.887422254545123,0.9572423735916328,0.8344176069659005,0.9247404404352052,0.838082948586001,0.9286598935611915,0.9717471622798397,0.9919588162834219
3,fold_03_model.joblib,69229,7692,0.8020020800832033,0.736430844358758,0.8000551143995613,0.8000956614841654,0.8029989658738366,0.8080124869927159,0.7980472764645427,0.7355006501950585,0.7356919875130072,0.735309412376495,0.7365269461077845,0.7035881435257411,0.7727013135351228,0.9251938954215662,0.9605194805194806,0.8923745173745173,0.8737685456879151,0.9499582955363148,0.8167197023440416,0.9156946746330458,0.8282823159821823,0.922161476509329,0.9626732369959536,0.989151486626777
4,fold_04_model.joblib,69229,7692,0.8178627145085804,0.7576804898507434,0.816036275402204,0.8160722588791028,0.8159333506899245,0.8152965660770031,0.8165711307972903,0.7686777920410783,0.7788761706555671,0.7587430309173847,0.7488359353601753,0.7108684347373895,0.7910879629629629,0.9306980235176382,0.9662337662337662,0.8976833976833977,0.8987022471435352,0.9573037365396025,0.8503698939148494,0.9333421100565015,0.8390224494211825,0.9312082970404967,0.9698804110217213,0.9908922913396643
5,fold_05_model.joblib,69229,7692,0.8085023400936038,0.7452015698571116,0.8062511281002678,0.806314303681106,0.8080808080808081,0.8116545265348595,0.8045384218669417,0.7477171927993739,0.7455775234131113,0.749869178440607,0.7414687414687414,0.7065556711758585,0.7800114876507754,0.927737770052148,0.9698857736240913,0.8891004283674441,0.8812429121794383,0.9529748582949953,0.8262551296239139,0.9248012162374187,0.8302993506778291,0.9225111226931796,0.9730152528792702,0.9921883357483929
6,fold_06_model.joblib,69229,7692,0.8150026001040042,0.7539555071998084,0.812985282811269,0.8130459683511969,0.8184852374839537,0.8293444328824141,0.8079067410035479,0.765038560411311,0.7741935483870968,0.7560975609756098,0.7387337572573957,0.6951092611862643,0.7882005899705015,0.9296835760924159,0.9610591900311527,0.9002918287937743,0.8889999863013011,0.9566540486242486,0.8442245517059951,0.9318518404968829,0.8311781776834591,0.9243367412267335,0.9722014254009361,0.9915695330056344
7,fold_07_model.joblib,69229,7692,0.8121424856994279,0.7503536619412626,0.8094439630370385,0.8095043366424854,0.8147957873105575,0.8251821019771072,0.8046676813800101,0.7547071129707112,0.7507804370447451,0.7586750788643533,0.7427305455552479,0.6977107180020812,0.7939609236234458,0.9255424063116371,0.9745586708203531,0.8812206572769953,0.8848157694683463,0.9552264484749241,0.8366516456745314,0.9257171364317572,0.8322846700746946,0.9245028827928734,0.9684604969702593,0.9911087626862667
8,fold_08_model.joblib,69229,7692,0.8172126885075403,0.7567851343009512,0.8153087326085849,0.8153675667421106,0.8119834710743802,0.81789802289282,0.8061538461538461,0.761656681427455,0.7606659729448492,0.7626499739175796,0.7591480065537958,0.7232049947970863,0.7988505747126436,0.9284467713787086,0.9667705088265836,0.8930455635491606,0.8878034265461981,0.9542617904154577,0.8416192569855993,0.9302141851083052,0.8481808932252257,0.9312118911373732,0.9719697427410264,0.9915917746059636
9,fold_09_model.joblib,69229,7692,0.8092823712948518,0.7461121621060831,0.8074641472331057,0.807525069715898,0.8082794307891332,0.8126951092611863,0.8039114770972723,0.7539620680696285,0.754942767950052,0.7529839128178516,0.742997008430786,0.7107180020811654,0.7783475783475784,0.9246180816428751,0.9584631360332295,0.8930817610062893,0.8850890215594416,0.953373958740985,0.8429829211461818,0.9299250491887242,0.8276387888849535,0.9215371769369356,0.9700998971126665,0.9912802121074268
10,fold_10_model.joblib,69229,7692,0.8107124284971399,0.7482635573101564,0.8085476354170029,0.8086149442729379,0.8052151238591917,0.8033298647242456,0.807109252483011,0.7506400409626216,0.7627471383975026,0.7389112903225806,0.7403528114663727,0.6987513007284079,0.787221570926143,0.9379825653798256,0.9776739356178609,0.9013882240306367,0.8926098573794268,0.9552055286142215,0.830507473984107,0.9253489198318475,0.8338008840639546,0.9260673186689918,0.9761000394876328,0.9931772315168701
